,municipio,codEstacao,uf,nomeEstacao,latitude,longitude,datahora,valorMedida,semana,hora,data
340862,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-02 16:10:00,0.0,1,16,2025-01-02
340863,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-02 17:10:00,0.0,1,17,2025-01-02
340864,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-02 18:10:00,0.0,1,18,2025-01-02
340865,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-02 19:10:00,0.0,1,19,2025-01-02
340866,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-02 20:10:00,0.0,1,20,2025-01-02
340867,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-02 21:10:00,0.0,1,21,2025-01-02
340868,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-02 22:10:00,0.0,1,22,2025-01-02
340869,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-02 23:00:00,0.2,1,23,2025-01-02
340870,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-02 23:10:00,0.2,1,23,2025-01-02
340871,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 00:10:00,0.0,1,0,2025-01-03
340872,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 00:30:00,0.2,1,0,2025-01-03
340873,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 01:10:00,0.0,1,1,2025-01-03
340874,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 02:10:00,0.0,1,2,2025-01-03
340875,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 03:10:00,0.0,1,3,2025-01-03
340876,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 04:10:00,0.0,1,4,2025-01-03
340877,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 05:10:00,0.0,1,5,2025-01-03
340878,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 06:10:00,0.0,1,6,2025-01-03
340879,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 07:10:00,0.0,1,7,2025-01-03
340880,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 08:10:00,0.0,1,8,2025-01-03
340881,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 09:10:00,0.0,1,9,2025-01-03
340882,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 10:10:00,0.0,1,10,2025-01-03
340883,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 11:10:00,0.0,1,11,2025-01-03
340884,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 12:10:00,0.0,1,12,2025-01-03
340885,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 13:10:00,0.0,1,13,2025-01-03
340886,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 14:10:00,0.0,1,14,2025-01-03
340887,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 15:10:00,0.0,1,15,2025-01-03
340888,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 16:10:00,0.0,1,16,2025-01-03
340889,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 17:10:00,0.0,1,17,2025-01-03
340890,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 18:10:00,0.0,1,18,2025-01-03
340891,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 18:50:00,0.79,1,18,2025-01-03
340892,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 19:00:00,6.49,1,19,2025-01-03
340893,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 19:10:00,2.75,1,19,2025-01-03
340894,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 19:20:00,1.37,1,19,2025-01-03
340895,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 19:30:00,0.98,1,19,2025-01-03
340896,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 19:40:00,0.39,1,19,2025-01-03
340897,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 20:10:00,0.0,1,20,2025-01-03
340898,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 21:10:00,0.0,1,21,2025-01-03
340899,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 22:10:00,0.0,1,22,2025-01-03
340900,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-03 23:10:00,0.0,1,23,2025-01-03
340901,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 00:10:00,0.0,1,0,2025-01-04
340902,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 01:10:00,0.0,1,1,2025-01-04
340903,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 02:10:00,0.0,1,2,2025-01-04
340904,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 03:10:00,0.0,1,3,2025-01-04
340905,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 04:10:00,0.0,1,4,2025-01-04
340906,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 05:10:00,0.0,1,5,2025-01-04
340907,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 06:10:00,0.0,1,6,2025-01-04
340908,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 07:10:00,0.0,1,7,2025-01-04
340909,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 07:40:00,0.2,1,7,2025-01-04
340910,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 08:00:00,0.2,1,8,2025-01-04
340911,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 08:10:00,0.0,1,8,2025-01-04
340912,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 09:10:00,0.0,1,9,2025-01-04
340913,SÃO PAULO,355030811A,SP,AC Santana,"-23,50248","-46,628836",2025-01-04 10:10:00,0.0,1,10,2025-01-04
